movie,year,imdb,metascore,votes
Tenet,(2020),7.5,69,279505
The Invisible Man,(I) (2020),7.1,72,165061
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,(2020),6.1,60,164199
Extraction,(2020),6.7,56,157702
Soul,(2020),8.1,83,153215
Wonder Woman 1984,(2020),5.4,60,145144
Bad Boys for Life,(2020),6.6,59,129134
The Old Guard,(2020),6.6,70,125034
Enola Holmes,(2020),6.6,68,123080
Mulan,(2020),5.6,66,106881
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,(2020),6.7,68,103323
Onward,(I) (2020),7.4,61,99738
The Devil All the Time,(2020),7.1,55,90016
The Trial of the Chicago 7,(2020),7.8,77,88435
Sonic the Hedgehog,(2020),6.5,47,88090
Palm Springs,(2020),7.4,83,73704
Eurovision Song Contest: The Story of Fire Saga,(2020),6.5,50,72324
Spenser Confidential,(2020),6.2,49,69092
Project Power,(2020),6.0,51,68533
The Hunt,(II) (2020),6.5,50,67059
Greyhound,(2020),7.0,64,66831
The Social Dilemma,(2020),7.7,78,63242
Underwater,(2020),5.8,48,62304
The Midnight Sky,(2020),5.6,58,61671
Bloodshot,(2020),5.7,44,60426
I'm Thinking of Ending Things,(2020),6.6,78,59539
Hamilton,(2020),8.6,90,54871
Dolittle,(2020),5.6,26,47991
Greenland,(2020),6.4,61,46007
Holidate,(2020),6.1,44,43802
