movie,year,imdb,metascore,votes
Deadpool,(2016),8.0,65,902103
Captain America: Civil War,(2016),7.8,75,663065
Batman v Superman: Dawn of Justice,(2016),6.4,44,625289
Suicide Squad,(2016),6.0,40,600485
Doctor Strange,(2016),7.5,72,597813
Arrival,(II) (2016),7.9,81,593568
Rogue One,(2016),7.8,65,556127
La La Land,(2016),8.0,94,505324
Hacksaw Ridge,(2016),8.1,71,435373
Zootopia,(2016),8.0,78,433773
Split,(IX) (2016),7.3,62,424343
Fantastic Beasts and Where to Find Them,(2016),7.3,66,410448
X-Men: Apocalypse,(2016),6.9,52,392761
Passengers,(I) (2016),7.0,41,349451
10 Cloverfield Lane,(2016),7.2,76,290277
The Nice Guys,(2016),7.4,70,279749
Moonlight,(I) (2016),7.4,99,273372
Moana,(I) (2016),7.6,81,272450
The Accountant,(2016),7.3,51,260067
The Jungle Book,(2016),7.4,77,259020
Now You See Me 2,(2016),6.5,46,249176
Manchester by the Sea,(2016),7.8,96,246680
Warcraft,(2016),6.8,32,241572
Finding Dory,(2016),7.3,77,240539
Nocturnal Animals,(2016),7.5,67,238594
Sully,(2016),7.4,74,237780
Star Trek Beyond,(2016),7.1,68,228022
The Conjuring 2,(2016),7.3,65,225280
Don't Breathe,(2016),7.1,71,221663
Lion,(2016),8.0,69,213741
Me Before You,(2016),7.4,51,208875
Jason Bourne,(I) (2016),6.6,58,208366
Ghostbusters,(2016),6.5,60,204285
Hell or High Water,(II) (2016),7.6,88,203960
Hidden Figures,(2016),7.8,74,200657
Kimi no na wa.,(2016),8.4,79,194381
Captain Fantastic,(2016),7.9,72,189146
Assassin's Creed,(2016),5.7,36,185844
The Magnificent Seven,(2016),6.9,54,185111
The Secret Life of Pets,(2016),6.5,61,182921
War Dogs,(2016),7.1,57,177378
Sausage Party,(2016),6.1,66,175777
The Promise,(II) (2016),6.3,49,172702
The Girl on the Train,(2016),6.5,48,169106
Independence Day: Resurgence,(2016),5.2,32,166567
Busanhaeng,(2016),7.6,72,165644
